name,description,serving_size,calories,protein,carbs,fats,sugar,date,protein_per_calorie,calories_per_protein
Buffalo Chicken Stromboli,,1 piece,1050,75,103,37,6,2025-11-19,,
Philly Cheese Steak,,1 sandwich,430,35,38,14,2,2025-11-19,,
Chicken and Dumplings,,8 oz portion,440,28,35,20,0,2025-11-19,,
Thai Turkey Meatballs,,4 ounce,210,22,0,13,0,2025-11-19,,
Asian BBQ Glazed Pork,,4 ounce,190,22,7,7,0,2025-11-19,,
Grilled Chicken Thigh,,3 ounce,170,20,0,9,0,2025-11-19,,
FIT Tuna Salad,,1/2 cup,100,17,2,0,0,2025-11-19,,
Thinly Sliced Smoked Ham,,3 ounce,110,15,1,0,1,2025-11-19,,
Cottage Cheese,,1/2 cup,80,14,3,1,3,2025-11-19,,
Impossible and Barley Dirty Rice,,1/2 cup,240,13,30,8,2,2025-11-19,,
Thai Tofu,,4 ounce,160,11,3,12,0,2025-11-19,,
Thinly Sliced Deli Turkey Breast,,3 ounce,90,11,3,0,0,2025-11-19,,
2% Greek Plain Yogurt,,1/2 cup,90,11,5,0,5,2025-11-19,,
Meatless Garden Burger,,1 each,100,10,15,0,0,2025-11-19,,
Grilled Veggie Pizza,,1 slice,220,10,34,5,3,2025-11-19,,
Pepperoni Pizza,,1 slice,210,9,29,7,0,2025-11-19,,
"12"" Flour Tortilla",,1 each,290,8,48,8,1,2025-11-19,,
Multigrain Bread,,2 slice,280,8,52,4,8,2025-11-19,,
Whole Wheat Bread,,2 slice,140,8,26,1,0,2025-11-19,,
Herb Marinated Black Beans,,1/2 cup,130,8,22,2,0,2025-11-19,,
Cheese Pizza,,1 slice,200,8,29,5,2,2025-11-19,,
Lemon Orzo Chicken Soup,,8 floz,160,7,14,8,2,2025-11-19,,
Hard Boiled Egg,,1 each,70,6,0,0,0,2025-11-19,,
Vanilla Iced Monkey Bread,,1 each,590,6,82,27,53,2025-11-19,,
Jasmine Rice,,1 cup,300,5,55,6,0,2025-11-19,,
Kidney Bean Curry,,1 cup,150,5,17,7,0,2025-11-19,,
White Bread,,2 slice,150,5,29,0,2,2025-11-19,,
Sliced American Swiss Cheese,,1 slice,100,5,1,9,0,2025-11-19,,
Diced Ham,,1/4 cup,45,5,2,0,0,2025-11-19,,
Cubed Tofu,,1/4 cup,50,5,1,3,0,2025-11-19,,
Cannellini Bean Salad,,4 ounce,160,5,22,6,8,2025-11-19,,
American Macaroni Salad,,3/4 cup,180,5,27,6,2,2025-11-19,,
Coconut Rice,,1/2 cup,280,4,46,9,0,2025-11-19,,
Rotini Pasta,,1/2 cup,110,4,21,0,0,2025-11-19,,
Italian Sausage Crumbles,,1/4 cup,70,4,0,5,0,2025-11-19,,
Herb Roasted Mushrooms,,1/2 cup,70,4,4,5,0,2025-11-19,,
Chickpea Cucumber Sumac Salad,,1/2 cup,120,4,14,6,0,2025-11-19,,
"Peanut Butter, .75 oz, Jif",,1 each,120,4,5,10,2,2025-11-19,,
Jasmine Rice,,4 ounce,180,3,32,0,0,2025-11-19,,
Sliced American Cheese,,1/2 ounce,50,3,0,0,0,2025-11-19,,
American Cheese Slice,,1 slice,50,3,0,0,0,2025-11-19,,
Cheddar Cheese Slice,,1 slice,60,3,0,0,0,2025-11-19,,
Whole Wheat Penne Pasta,,1/2 cup,80,3,15,1,0,2025-11-19,,
Vegan Southern Green Beans,,4 ounce,60,2,13,1,4,2025-11-19,,
Garlic Cheddar Biscuit,,1 each,110,2,13,5,1,2025-11-19,,
Cucumber-Tomato Raita,,1-1/2 floz,20,2,3,0,0,2025-11-19,,
Mr. Bing Chili Crisp Spicy,,1 tbsp,90,2,6,9,0,2025-11-19,,
Seasoned French Fries,,3 ounce,200,2,23,11,0,2025-11-19,,
Whole Kernel Corn,,1/2 cup,80,2,18,2,3,2025-11-19,,
Roasted Red Pepper Hummus,,2 tbsp,70,2,5,0,1,2025-11-19,,
Pesto Alfredo Sauce,,2 floz,120,2,3,11,2,2025-11-19,,
Marinara Sauce,,1 ladle-4oz,70,2,14,0,9,2025-11-19,,
Garlic Bread,,1 slice,100,2,16,0,0,2025-11-19,,
Shredded Cheddar Cheese,,1 tbsp,30,2,0,0,0,2025-11-19,,
Blanched Broccoli,,1/2 cup,25,2,5,0,1,2025-11-19,,
Blanched Cauliflower,,1/2 cup,25,2,5,0,2,2025-11-19,,
Cooked Red Quinoa,,1/4 cup,60,2,10,1,0,2025-11-19,,
Croutons,,5 each,70,2,15,0,0,2025-11-19,,
Roasted Sunflower Seeds,,1 tbsp,45,2,2,4,0,2025-11-19,,
strawberry cream cheese,,2 tbsp,110,2,5,10,4,2025-11-19,,
Chive Cream Cheese,,1 ounce,90,2,2,9,1,2025-11-19,,
Classic Snickerdoodle Cookies,,1 each,130,2,22,4,10,2025-11-19,,
Sweet and Sour Sauce,,1 floz,40,1,8,0,7,2025-11-19,,
Gluten Free Soy Sauce,,1 floz,20,1,4,0,2,2025-11-19,,
Classic Caesar Dressing,,1 floz,150,1,0,16,0,2025-11-19,,
Low-Fat Blueberry Yogurt,,1/4 cup,35,1,7,0,5,2025-11-19,,
Vegetable Soup,,1 ladle-6oz,40,1,9,0,3,2025-11-19,,
Carnival Cookies,,1 each,120,1,18,5,11,2025-11-19,,
Roasted Yellow Squash,,1/2 cup,40,0,4,0,3,2025-11-19,,
Thai Turkey Bowl,,1 plate,0,0,0,0,0,2025-11-19,,
Mango Chow,,2 ounce,25,0,7,0,5,2025-11-19,,
Thai Basil Vinaigrette,,2 floz,200,0,7,19,6,2025-11-19,,
Chopped Onion,,1 tbsp,0,0,0,0,0,2025-11-19,,
Chopped Cilantro,,1 tsp,0,0,0,0,0,2025-11-19,,
Tamarind Chutney,,2 ounce,140,0,34,0,30,2025-11-19,,
Julienne Yellow Onions,,1/4 cup,10,0,3,0,1,2025-11-19,,
Sliced Mushrooms,,1/4 cup,0,0,0,0,0,2025-11-19,,
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,,
Shredded Carrots,,1/4 cup,10,0,3,0,1,2025-11-19,,
Baby Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,,
Fresh Thai Basil,,1 tbsp,0,0,0,0,0,2025-11-19,,
Chopped Green Onions,,1 tbsp,0,0,0,0,0,2025-11-19,,
Grated Ginger Root,,1 tsp,0,0,0,0,0,2025-11-19,,
Fresh Chopped Garlic,,1 tsp,0,0,0,0,0,2025-11-19,,
General Tso's Sauce,,1 floz,60,0,16,0,14,2025-11-19,,
Sesame Seed Mix,,1/2 tsp,10,0,0,1,0,2025-11-19,,
Chow Mein Noodles,,1 tbsp,15,0,2,0,0,2025-11-19,,
Crushed Red Pepper,,1/2 tsp,0,0,0,0,0,2025-11-19,,
Grilled Zucchini,,1/4 cup,15,0,2,1,1,2025-11-19,,
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,,
Sliced Tomatoes,,1 slice,0,0,0,0,0,2025-11-19,,
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,,
Dill Pickle Slices,,4 each,0,0,0,0,0,2025-11-19,,
