name,description,serving_size,calories,protein,carbs,fats,sugar,date,protein_per_calorie,calories_per_protein
Grilled Zucchini & Squash,,1/2 cup,10,0,2,0,2,2025-11-19,,
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,,
Sliced Tomatoes,,1 slice,0,0,0,0,0,2025-11-19,,
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,,
Dill Pickle Slices,,4 each,0,0,0,0,0,2025-11-19,,
Dill Pickle Slices,,2 each,0,0,0,0,0,2025-11-19,,
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,,
Sliced Tomatoes,,2 slice,0,0,1,0,0,2025-11-19,,
Sliced Red Onion,,1 slice,5,0,1,0,0,2025-11-19,,
Sliced Banana Peppers,,1 ounce,0,0,0,0,0,2025-11-19,,
Sliced Cucumber,,1/4 cup,0,0,0,0,0,2025-11-19,,
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,,
Pesto Mayo,,1 oz portion,180,0,0,20,0,2025-11-19,,
Horseradish Mayo,,2 tbsp,110,0,3,11,0,2025-11-19,,
Chopped Romaine Lettuce,,1 cup,10,0,2,0,0,2025-11-19,,
Baby Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,,
Shredded Carrots,,1/4 cup,10,0,3,0,1,2025-11-19,,
Sliced Cucumber,,1/4 cup,0,0,0,0,0,2025-11-19,,
Grape Tomatoes,,1/4 cup,5,0,1,0,0,2025-11-19,,
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,,
Pickled Beets,,1/2 cup,25,0,5,0,0,2025-11-19,,
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,,
Sliced Black Olives,,1/4 cup,40,0,2,4,0,2025-11-19,,
Dried Cranberries,,1 tbsp,30,0,8,0,7,2025-11-19,,
Homestyle Ranch Dressing,,1 floz,100,0,0,11,0,2025-11-19,,
Balsamic Vinaigrette Dressing,,1 floz,60,0,5,5,4,2025-11-19,,
Dijon Honey Dressing,,1 floz,130,0,7,12,6,2025-11-19,,
French Dressing,,1 floz,120,0,5,11,5,2025-11-19,,
Fat Free Italian Dressing,,1 floz,15,0,3,0,2,2025-11-19,,
Olive Oil,,1 floz,240,0,0,27,0,2025-11-19,,
Red Wine Vinegar,,1 floz,5,0,0,0,0,2025-11-19,,
Cubed Pineapple,,1/4 cup,20,0,5,0,4,2025-11-19,,
Cubed Cantaloupe,,1/4 cup,15,0,3,0,3,2025-11-19,,
Cubed Honeydew,,1/4 cup,15,0,4,0,3,2025-11-19,,
Red Grapes,,1/2 cup,50,0,14,0,12,2025-11-19,,
Cream Cheese,,1 tbsp,50,0,0,5,0,2025-11-19,,
Strawberry Jelly Preserves,,1 tbsp,50,0,13,0,12,2025-11-19,,
Grape Jelly,,1 tbsp,50,0,13,0,12,2025-11-19,,
"Crackers, Saltine, 2 CT, Zesta",,1 each,25,0,5,0,0,2025-11-19,,
Tater Tots,,1/2 cup,210,1,18,15,0,2025-11-19,,
Classic Caesar Dressing,,1 floz,150,1,0,16,0,2025-11-19,,
Low-Fat Blueberry Yogurt,,1/4 cup,35,1,7,0,5,2025-11-19,,
Blackened Sweet Potato,,4 ounce,130,2,21,5,7,2025-11-19,,
"Mushrooms, Tomatoes and Spinach",,1/2 cup,50,2,5,0,2,2025-11-19,,
Shredded Cheddar Cheese,,1 tbsp,30,2,0,0,0,2025-11-19,,
Blanched Broccoli,,1/2 cup,25,2,5,0,1,2025-11-19,,
Blanched Cauliflower,,1/2 cup,25,2,5,0,2,2025-11-19,,
Cooked Red Quinoa,,1/4 cup,60,2,10,1,0,2025-11-19,,
Croutons,,5 each,70,2,15,0,0,2025-11-19,,
Roasted Sunflower Seeds,,1 tbsp,45,2,2,4,0,2025-11-19,,
strawberry cream cheese,,2 tbsp,110,2,5,10,4,2025-11-19,,
Chive Cream Cheese,,1 ounce,90,2,2,9,1,2025-11-19,,
Sliced American Cheese,,1/2 ounce,50,3,0,0,0,2025-11-19,,
Hummus,,2 ounce,110,3,8,8,1,2025-11-19,,
American Cheese Slice,,1 slice,50,3,0,0,0,2025-11-19,,
Cheddar Cheese Slice,,1 slice,60,3,0,0,0,2025-11-19,,
Southwest Tortilla Soup,,8 floz,130,3,17,6,4,2025-11-19,,
Dinner Roll,,1 each,150,4,29,2,0,2025-11-19,,
Herb Roasted Mushrooms,,1/2 cup,70,4,4,5,0,2025-11-19,,
"Peanut Butter, .75 oz, Jif",,1 each,120,4,5,10,2,2025-11-19,,
Jalapeno Poppers,,3 each,330,5,29,23,3,2025-11-19,,
White Bread,,2 slice,150,5,29,0,2,2025-11-19,,
Sliced American Swiss Cheese,,1 slice,100,5,1,9,0,2025-11-19,,
Diced Ham,,1/4 cup,45,5,2,0,0,2025-11-19,,
Cubed Tofu,,1/4 cup,50,5,1,3,0,2025-11-19,,
Hard Boiled Egg,,1 each,70,6,0,0,0,2025-11-19,,
"12"" Flour Tortilla",,1 each,290,8,48,8,1,2025-11-19,,
Multigrain Bread,,2 slice,280,8,52,4,8,2025-11-19,,
Whole Wheat Bread,,2 slice,140,8,26,1,0,2025-11-19,,
Herb Marinated Black Beans,,1/2 cup,130,8,22,2,0,2025-11-19,,
Lemon Orzo,,1/2 cup,230,8,44,3,2,2025-11-19,,
